--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
random_event_1001_desc,本局游戏中，所有玩家冷却时间减少 <font color='#83d18a'>+{pct}%</font>,"In this game, all players have <font color='#83d18a'>+{pct}%</font> Cooldown Reduction",В этой игре у всех игроков <font color='#83d18a'>+{pct}%</font> сокращения перезарядки
random_event_1002_desc,本局游戏中，所有玩家伤害输出 <font color='#83d18a'>+{pct}%</font>,"In this game, all players have <font color='#83d18a'>+{pct}%</font> Damage Output",В этой игре у всех игроков <font color='#83d18a'>+{pct}%</font> исходящего урона
random_event_1003_desc,本局游戏中，随机类福佑权重 <font color='#83d18a'>+{pct}%</font>,"In this game, Random Blessing weight <font color='#83d18a'>+{pct}%</font>",В этой игре шанс выпадения случайных благословений: <font color='#83d18a'>+{pct}%</font>
random_event_1004_desc,本局游戏中，橙色福佑权重 <font color='#83d18a'>+{pct}%</font>,"In this game, Orange Blessing weight <font color='#83d18a'>+{pct}%</font>",В этой игре шанс выпадения оранжевых благословений: <font color='#83d18a'>+{pct}%</font>
random_event_1005_desc,本局游戏中，在双方1-2塔之间的丛林中，各有一个传送门，互相联通，每次穿越传送门需要持续施法{time}秒，每个玩家使用后，该玩家{cd}秒内无法再次使用传送门,"In this game, two interconnected portals appear in the jungles between T1 and T2 towers. Requires {time}s channeling to teleport. Each player has a {cd}s cooldown after use",В этой игре в лесу между Т1 и Т2 башнями появляются порталы. Прерывание: {time} сек. Перезарядка для игрока после использования: {cd} сек.
random_event_1006_desc,本局游戏中，额外有2个补给点（火锅或者做成神符），火锅每{cd}分钟充能，充能完成后，右键点击启动火锅，启动后每{interval}秒为{range}码内英雄回复{hp_pct}%最大生命值的血量，持续{dur}秒,"In this game, 2 extra Shrines are available. Shrines recharge every {cd} min. Right-click to activate, restoring {hp_pct}% Max HP every {interval}s to heroes within {range} radius for {dur}s",В этой игре есть 2 доп. святыни. Перезарядка: {cd} мин. Активация (ПКМ) восстанавливает {hp_pct}% макс. ХП каждые {interval} сек. героям в радиусе {range}. Длительность: {dur} сек.
random_event_1007_desc,本局游戏中，所有玩家均拥有福佑 <font color='#b619ff'>[救救救救救]</font>,"In this game, all players have the Blessing <font color='#b619ff'>[HELP HELP HELP HELP HELP]</font>",В этой игре у всех игроков есть благословение <font color='#b619ff'>[СПАСИТЕ-ПОМОГИТЕ]</font>
random_event_1008_desc,<font color='#83d18a'>{time}</font> 分钟时，所有玩家获得 <font color='#83d18a'>{count}</font> 个相同的随机福佑,"At <font color='#83d18a'>{time}</font> min, all players receive <font color='#83d18a'>{count}</font> identical random Blessings",На <font color='#83d18a'>{time}</font> минуте все игроки получают <font color='#83d18a'>{count}</font> одинаковых случайных благословений
random_event_1009_desc,<font color='#83d18a'>{time}</font> 分钟时，所有玩家获得 <font color='#83d18a'>{count}</font> 个随机福佑,"At <font color='#83d18a'>{time}</font> min, all players receive <font color='#83d18a'>{count}</font> random Blessings",На <font color='#83d18a'>{time}</font> минуте все игроки получают <font color='#83d18a'>{count}</font> случайных благословений
random_event_1010_desc,每 <font color='#83d18a'>{time}</font> 分钟，地图上随机生成 <font color='#83d18a'>{count}</font> 个金币神符，拾取时队伍中每个人获得 <font color='#83d18a'>{gold}</font> 金币,"Every <font color='#83d18a'>{time}</font> minutes, <font color='#83d18a'>{count}</font> Bounty Runes spawn randomly on the map. Grants <font color='#83d18a'>{gold}</font> gold to each team member when picked up.",Каждые <font color='#83d18a'>{time}</font> мин. на карте случайно появляются <font color='#83d18a'>{count}</font> руны богатства. При подборе дают <font color='#83d18a'>{gold}</font> золота каждому герою в команде.
